Pattern #1 Target #1 Run completed: 1 solutions; 3 fail nodes; 11 nodes; 3 milliseconds
Pattern #1 Target #97 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 0 milliseconds
Pattern #1 Target #98 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 0 milliseconds
Pattern #1 Target #99 Run completed: 0 solutions; 43 fail nodes; 29 nodes; 1 milliseconds
Pattern #1 Target #100 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #101 Run completed: 1 solutions; 3 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #102 Run completed: 1 solutions; 3 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #103 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #104 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #105 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #106 Run completed: 1 solutions; 4 fail nodes; 12 nodes; 1 milliseconds
fail 1: P#1 T#107
Pattern #1 Target #107 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
fail 1: P#1 T#108
Pattern #1 Target #108 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #109 Run completed: 1 solutions; 4 fail nodes; 12 nodes; 0 milliseconds
Pattern #1 Target #110 Run completed: 0 solutions; 4 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #111 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #112 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #113 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #114 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #115 Run completed: 0 solutions; 3 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #116 Run completed: 1 solutions; 5 fail nodes; 10 nodes; 1 milliseconds
Pattern #1 Target #117 Run completed: 1 solutions; 3 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #118 Run completed: 0 solutions; 7 fail nodes; 7 nodes; 0 milliseconds
Pattern #1 Target #119 Run completed: 0 solutions; 7 fail nodes; 7 nodes; 0 milliseconds
Pattern #1 Target #120 Run completed: 0 solutions; 4 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #121 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #122 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #123 Run completed: 1 solutions; 23 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #124 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #125 Run completed: 1 solutions; 3 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #126 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #127 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #128 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #129 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #130 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #131 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
fail 2: P#1 T#132
Pattern #1 Target #132 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #133 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #134 Run completed: 0 solutions; 4 fail nodes; 3 nodes; 1 milliseconds
Pattern #1 Target #135 Run completed: 0 solutions; 4 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #136 Run completed: 1 solutions; 13 fail nodes; 21 nodes; 0 milliseconds
Pattern #1 Target #137 Run completed: 1 solutions; 5 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #138 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #139 Run completed: 0 solutions; 6 fail nodes; 8 nodes; 0 milliseconds
Pattern #1 Target #140 Run completed: 1 solutions; 6 fail nodes; 16 nodes; 0 milliseconds
Pattern #1 Target #141 Run completed: 0 solutions; 9 fail nodes; 4 nodes; 1 milliseconds
Pattern #1 Target #142 Run completed: 0 solutions; 9 fail nodes; 4 nodes; 0 milliseconds
Pattern #1 Target #143 Run completed: 1 solutions; 2 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #144 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #145 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #146 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 1 milliseconds
Pattern #1 Target #147 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 0 milliseconds
Pattern #1 Target #148 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 0 milliseconds
Pattern #1 Target #149 Run completed: 0 solutions; 43 fail nodes; 29 nodes; 0 milliseconds
Pattern #1 Target #150 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #151 Run completed: 1 solutions; 3 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #152 Run completed: 1 solutions; 3 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #153 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #154 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #155 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #156 Run completed: 1 solutions; 4 fail nodes; 12 nodes; 0 milliseconds
fail 1: P#1 T#157
Pattern #1 Target #157 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
fail 1: P#1 T#158
Pattern #1 Target #158 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #159 Run completed: 1 solutions; 4 fail nodes; 12 nodes; 1 milliseconds
Pattern #1 Target #160 Run completed: 0 solutions; 4 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #161 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #162 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #163 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #164 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #165 Run completed: 0 solutions; 3 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #166 Run completed: 1 solutions; 5 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #167 Run completed: 1 solutions; 3 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #168 Run completed: 0 solutions; 7 fail nodes; 7 nodes; 0 milliseconds
Pattern #1 Target #169 Run completed: 0 solutions; 7 fail nodes; 7 nodes; 1 milliseconds
Pattern #1 Target #170 Run completed: 0 solutions; 4 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #171 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #172 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #173 Run completed: 1 solutions; 23 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #174 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #175 Run completed: 1 solutions; 3 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #176 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #177 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 1 milliseconds
Pattern #1 Target #178 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #179 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #180 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #181 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
fail 2: P#1 T#182
Pattern #1 Target #182 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #183 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #184 Run completed: 0 solutions; 4 fail nodes; 3 nodes; 1 milliseconds
Pattern #1 Target #185 Run completed: 0 solutions; 4 fail nodes; 2 nodes; 0 milliseconds
Pattern #1 Target #186 Run completed: 1 solutions; 13 fail nodes; 21 nodes; 0 milliseconds
Pattern #1 Target #187 Run completed: 1 solutions; 5 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #188 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #189 Run completed: 0 solutions; 6 fail nodes; 8 nodes; 0 milliseconds
Pattern #1 Target #190 Run completed: 1 solutions; 6 fail nodes; 16 nodes; 0 milliseconds
Pattern #1 Target #191 Run completed: 0 solutions; 9 fail nodes; 4 nodes; 1 milliseconds
Pattern #1 Target #192 Run completed: 0 solutions; 9 fail nodes; 4 nodes; 0 milliseconds
Pattern #1 Target #193 Run completed: 1 solutions; 2 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #194 Run completed: 1 solutions; 1 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #195 Run completed: 1 solutions; 2 fail nodes; 9 nodes; 0 milliseconds
Pattern #1 Target #196 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 1 milliseconds
Pattern #1 Target #197 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 0 milliseconds
Pattern #1 Target #198 Run completed: 1 solutions; 3 fail nodes; 12 nodes; 1 milliseconds
Pattern #1 Target #199 Run completed: 0 solutions; 43 fail nodes; 29 nodes; 0 milliseconds
Pattern #1 Target #200 Run completed: 1 solutions; 0 fail nodes; 9 nodes; 0 milliseconds
total cpu time: 1203 milliseconds
