Pattern #1 Target #1 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 22 milliseconds
Pattern #1 Target #23 Run completed: 1 solutions; 2 fail nodes; 19 nodes; 4 milliseconds
Pattern #1 Target #24 Run completed: 1 solutions; 123 fail nodes; 125 nodes; 3 milliseconds
Pattern #1 Target #25 Run completed: 1 solutions; 3 fail nodes; 21 nodes; 6 milliseconds
Pattern #1 Target #26 Run completed: 1 solutions; 14 fail nodes; 75 nodes; 3 milliseconds
Pattern #1 Target #27 Run completed: 1 solutions; 63 fail nodes; 74 nodes; 3 milliseconds
Pattern #1 Target #28 Run completed: 1 solutions; 72 fail nodes; 83 nodes; 3 milliseconds
Pattern #1 Target #29 Run completed: 1 solutions; 70 fail nodes; 81 nodes; 2 milliseconds
Pattern #1 Target #30 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 2 milliseconds
Pattern #1 Target #31 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 0 milliseconds
Pattern #1 Target #32 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 2 milliseconds
Pattern #1 Target #33 Run completed: 1 solutions; 3 fail nodes; 32 nodes; 0 milliseconds
Pattern #1 Target #34 Run completed: 1 solutions; 8 fail nodes; 44 nodes; 1 milliseconds
Pattern #1 Target #35 Run completed: 1 solutions; 8 fail nodes; 50 nodes; 1 milliseconds
Pattern #1 Target #36 Run completed: 1 solutions; 20 fail nodes; 77 nodes; 1 milliseconds
Pattern #1 Target #37 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 0 milliseconds
Pattern #1 Target #38 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 1 milliseconds
Pattern #1 Target #39 Run completed: 1 solutions; 7 fail nodes; 38 nodes; 0 milliseconds
Pattern #1 Target #40 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #41 Run completed: 0 solutions; 36 fail nodes; 101 nodes; 1 milliseconds
Pattern #1 Target #42 Run completed: 1 solutions; 28 fail nodes; 113 nodes; 1 milliseconds
Pattern #1 Target #43 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #44 Run completed: 1 solutions; 7 fail nodes; 40 nodes; 0 milliseconds
Pattern #1 Target #45 Run completed: 1 solutions; 5 fail nodes; 27 nodes; 1 milliseconds
Pattern #1 Target #46 Run completed: 1 solutions; 39 fail nodes; 123 nodes; 0 milliseconds
Pattern #1 Target #47 Run completed: 1 solutions; 11 fail nodes; 47 nodes; 1 milliseconds
Pattern #1 Target #48 Run completed: 1 solutions; 13 fail nodes; 54 nodes; 1 milliseconds
Pattern #1 Target #49 Run completed: 1 solutions; 7 fail nodes; 50 nodes; 0 milliseconds
Pattern #1 Target #50 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 3 milliseconds
Pattern #1 Target #51 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 3 milliseconds
Pattern #1 Target #52 Run completed: 1 solutions; 9 fail nodes; 42 nodes; 7 milliseconds
Pattern #1 Target #53 Run completed: 1 solutions; 2 fail nodes; 19 nodes; 2 milliseconds
Pattern #1 Target #54 Run completed: 1 solutions; 123 fail nodes; 125 nodes; 2 milliseconds
Pattern #1 Target #55 Run completed: 1 solutions; 3 fail nodes; 21 nodes; 4 milliseconds
Pattern #1 Target #56 Run completed: 1 solutions; 14 fail nodes; 75 nodes; 1 milliseconds
Pattern #1 Target #57 Run completed: 1 solutions; 63 fail nodes; 74 nodes; 2 milliseconds
Pattern #1 Target #58 Run completed: 1 solutions; 72 fail nodes; 83 nodes; 2 milliseconds
Pattern #1 Target #59 Run completed: 1 solutions; 70 fail nodes; 81 nodes; 2 milliseconds
Pattern #1 Target #60 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 2 milliseconds
Pattern #1 Target #61 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #62 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #63 Run completed: 1 solutions; 3 fail nodes; 32 nodes; 0 milliseconds
Pattern #1 Target #64 Run completed: 1 solutions; 8 fail nodes; 44 nodes; 0 milliseconds
Pattern #1 Target #65 Run completed: 1 solutions; 8 fail nodes; 50 nodes; 1 milliseconds
Pattern #1 Target #66 Run completed: 1 solutions; 20 fail nodes; 77 nodes; 0 milliseconds
Pattern #1 Target #67 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 0 milliseconds
Pattern #1 Target #68 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 1 milliseconds
Pattern #1 Target #69 Run completed: 1 solutions; 7 fail nodes; 38 nodes; 0 milliseconds
Pattern #1 Target #70 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #71 Run completed: 0 solutions; 36 fail nodes; 101 nodes; 1 milliseconds
Pattern #1 Target #72 Run completed: 1 solutions; 28 fail nodes; 113 nodes; 1 milliseconds
Pattern #1 Target #73 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #74 Run completed: 1 solutions; 7 fail nodes; 40 nodes; 0 milliseconds
Pattern #1 Target #75 Run completed: 1 solutions; 5 fail nodes; 27 nodes; 1 milliseconds
Pattern #1 Target #76 Run completed: 1 solutions; 39 fail nodes; 123 nodes; 0 milliseconds
Pattern #1 Target #77 Run completed: 1 solutions; 11 fail nodes; 47 nodes; 1 milliseconds
Pattern #1 Target #78 Run completed: 1 solutions; 13 fail nodes; 54 nodes; 0 milliseconds
Pattern #1 Target #79 Run completed: 1 solutions; 7 fail nodes; 50 nodes; 0 milliseconds
Pattern #1 Target #80 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 2 milliseconds
Pattern #1 Target #81 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 2 milliseconds
Pattern #1 Target #82 Run completed: 1 solutions; 9 fail nodes; 42 nodes; 7 milliseconds
Pattern #1 Target #83 Run completed: 1 solutions; 2 fail nodes; 19 nodes; 2 milliseconds
Pattern #1 Target #84 Run completed: 1 solutions; 123 fail nodes; 125 nodes; 2 milliseconds
Pattern #1 Target #85 Run completed: 1 solutions; 3 fail nodes; 21 nodes; 4 milliseconds
Pattern #1 Target #86 Run completed: 1 solutions; 14 fail nodes; 75 nodes; 1 milliseconds
Pattern #1 Target #87 Run completed: 1 solutions; 63 fail nodes; 74 nodes; 2 milliseconds
Pattern #1 Target #88 Run completed: 1 solutions; 72 fail nodes; 83 nodes; 1 milliseconds
Pattern #1 Target #89 Run completed: 1 solutions; 70 fail nodes; 81 nodes; 2 milliseconds
Pattern #1 Target #90 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 2 milliseconds
Pattern #1 Target #91 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #92 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #93 Run completed: 1 solutions; 3 fail nodes; 32 nodes; 1 milliseconds
Pattern #1 Target #94 Run completed: 1 solutions; 8 fail nodes; 44 nodes; 0 milliseconds
Pattern #1 Target #95 Run completed: 1 solutions; 8 fail nodes; 50 nodes; 1 milliseconds
Pattern #1 Target #96 Run completed: 1 solutions; 20 fail nodes; 77 nodes; 1 milliseconds
Pattern #1 Target #97 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 1 milliseconds
Pattern #1 Target #98 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 0 milliseconds
Pattern #1 Target #99 Run completed: 1 solutions; 7 fail nodes; 38 nodes; 1 milliseconds
Pattern #1 Target #100 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #101 Run completed: 0 solutions; 36 fail nodes; 101 nodes; 0 milliseconds
Pattern #1 Target #102 Run completed: 1 solutions; 28 fail nodes; 113 nodes; 1 milliseconds
Pattern #1 Target #103 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 11 milliseconds
Pattern #1 Target #104 Run completed: 1 solutions; 7 fail nodes; 40 nodes; 0 milliseconds
Pattern #1 Target #105 Run completed: 1 solutions; 5 fail nodes; 27 nodes; 1 milliseconds
Pattern #1 Target #106 Run completed: 1 solutions; 39 fail nodes; 123 nodes; 0 milliseconds
Pattern #1 Target #107 Run completed: 1 solutions; 11 fail nodes; 47 nodes; 1 milliseconds
Pattern #1 Target #108 Run completed: 1 solutions; 13 fail nodes; 54 nodes; 1 milliseconds
Pattern #1 Target #109 Run completed: 1 solutions; 7 fail nodes; 50 nodes; 0 milliseconds
Pattern #1 Target #110 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 3 milliseconds
Pattern #1 Target #111 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 2 milliseconds
Pattern #1 Target #112 Run completed: 1 solutions; 9 fail nodes; 42 nodes; 7 milliseconds
Pattern #1 Target #113 Run completed: 1 solutions; 2 fail nodes; 19 nodes; 2 milliseconds
Pattern #1 Target #114 Run completed: 1 solutions; 123 fail nodes; 125 nodes; 2 milliseconds
Pattern #1 Target #115 Run completed: 1 solutions; 3 fail nodes; 21 nodes; 4 milliseconds
Pattern #1 Target #116 Run completed: 1 solutions; 14 fail nodes; 75 nodes; 2 milliseconds
Pattern #1 Target #117 Run completed: 1 solutions; 63 fail nodes; 74 nodes; 1 milliseconds
Pattern #1 Target #118 Run completed: 1 solutions; 72 fail nodes; 83 nodes; 2 milliseconds
Pattern #1 Target #119 Run completed: 1 solutions; 70 fail nodes; 81 nodes; 2 milliseconds
Pattern #1 Target #120 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 2 milliseconds
Pattern #1 Target #121 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #122 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #123 Run completed: 1 solutions; 3 fail nodes; 32 nodes; 0 milliseconds
Pattern #1 Target #124 Run completed: 1 solutions; 8 fail nodes; 44 nodes; 1 milliseconds
Pattern #1 Target #125 Run completed: 1 solutions; 8 fail nodes; 50 nodes; 1 milliseconds
Pattern #1 Target #126 Run completed: 1 solutions; 20 fail nodes; 77 nodes; 1 milliseconds
Pattern #1 Target #127 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 1 milliseconds
Pattern #1 Target #128 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 0 milliseconds
Pattern #1 Target #129 Run completed: 1 solutions; 7 fail nodes; 38 nodes; 1 milliseconds
Pattern #1 Target #130 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #131 Run completed: 0 solutions; 36 fail nodes; 101 nodes; 0 milliseconds
Pattern #1 Target #132 Run completed: 1 solutions; 28 fail nodes; 113 nodes; 1 milliseconds
Pattern #1 Target #133 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #134 Run completed: 1 solutions; 7 fail nodes; 40 nodes; 0 milliseconds
Pattern #1 Target #135 Run completed: 1 solutions; 5 fail nodes; 27 nodes; 1 milliseconds
Pattern #1 Target #136 Run completed: 1 solutions; 39 fail nodes; 123 nodes; 0 milliseconds
Pattern #1 Target #137 Run completed: 1 solutions; 11 fail nodes; 47 nodes; 1 milliseconds
Pattern #1 Target #138 Run completed: 1 solutions; 13 fail nodes; 54 nodes; 1 milliseconds
Pattern #1 Target #139 Run completed: 1 solutions; 7 fail nodes; 50 nodes; 0 milliseconds
Pattern #1 Target #140 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 3 milliseconds
Pattern #1 Target #141 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 2 milliseconds
Pattern #1 Target #142 Run completed: 1 solutions; 9 fail nodes; 42 nodes; 7 milliseconds
Pattern #1 Target #143 Run completed: 1 solutions; 2 fail nodes; 19 nodes; 2 milliseconds
Pattern #1 Target #144 Run completed: 1 solutions; 123 fail nodes; 125 nodes; 2 milliseconds
Pattern #1 Target #145 Run completed: 1 solutions; 3 fail nodes; 21 nodes; 4 milliseconds
Pattern #1 Target #146 Run completed: 1 solutions; 14 fail nodes; 75 nodes; 2 milliseconds
Pattern #1 Target #147 Run completed: 1 solutions; 63 fail nodes; 74 nodes; 1 milliseconds
Pattern #1 Target #148 Run completed: 1 solutions; 72 fail nodes; 83 nodes; 2 milliseconds
Pattern #1 Target #149 Run completed: 1 solutions; 70 fail nodes; 81 nodes; 2 milliseconds
Pattern #1 Target #150 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 2 milliseconds
Pattern #1 Target #151 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 0 milliseconds
Pattern #1 Target #152 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #153 Run completed: 1 solutions; 3 fail nodes; 32 nodes; 0 milliseconds
Pattern #1 Target #154 Run completed: 1 solutions; 8 fail nodes; 44 nodes; 1 milliseconds
Pattern #1 Target #155 Run completed: 1 solutions; 8 fail nodes; 50 nodes; 1 milliseconds
Pattern #1 Target #156 Run completed: 1 solutions; 20 fail nodes; 77 nodes; 1 milliseconds
Pattern #1 Target #157 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 1 milliseconds
Pattern #1 Target #158 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 0 milliseconds
Pattern #1 Target #159 Run completed: 1 solutions; 7 fail nodes; 38 nodes; 0 milliseconds
Pattern #1 Target #160 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #161 Run completed: 0 solutions; 36 fail nodes; 101 nodes; 1 milliseconds
Pattern #1 Target #162 Run completed: 1 solutions; 28 fail nodes; 113 nodes; 0 milliseconds
Pattern #1 Target #163 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #164 Run completed: 1 solutions; 7 fail nodes; 40 nodes; 1 milliseconds
Pattern #1 Target #165 Run completed: 1 solutions; 5 fail nodes; 27 nodes; 0 milliseconds
Pattern #1 Target #166 Run completed: 1 solutions; 39 fail nodes; 123 nodes; 1 milliseconds
Pattern #1 Target #167 Run completed: 1 solutions; 11 fail nodes; 47 nodes; 1 milliseconds
Pattern #1 Target #168 Run completed: 1 solutions; 13 fail nodes; 54 nodes; 0 milliseconds
Pattern #1 Target #169 Run completed: 1 solutions; 7 fail nodes; 50 nodes; 1 milliseconds
Pattern #1 Target #170 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 3 milliseconds
Pattern #1 Target #171 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 2 milliseconds
Pattern #1 Target #172 Run completed: 1 solutions; 9 fail nodes; 42 nodes; 7 milliseconds
Pattern #1 Target #173 Run completed: 1 solutions; 2 fail nodes; 19 nodes; 2 milliseconds
Pattern #1 Target #174 Run completed: 1 solutions; 123 fail nodes; 125 nodes; 2 milliseconds
Pattern #1 Target #175 Run completed: 1 solutions; 3 fail nodes; 21 nodes; 4 milliseconds
Pattern #1 Target #176 Run completed: 1 solutions; 14 fail nodes; 75 nodes; 1 milliseconds
Pattern #1 Target #177 Run completed: 1 solutions; 63 fail nodes; 74 nodes; 1 milliseconds
Pattern #1 Target #178 Run completed: 1 solutions; 72 fail nodes; 83 nodes; 2 milliseconds
Pattern #1 Target #179 Run completed: 1 solutions; 70 fail nodes; 81 nodes; 2 milliseconds
Pattern #1 Target #180 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 2 milliseconds
Pattern #1 Target #181 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #182 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #183 Run completed: 1 solutions; 3 fail nodes; 32 nodes; 0 milliseconds
Pattern #1 Target #184 Run completed: 1 solutions; 8 fail nodes; 44 nodes; 1 milliseconds
Pattern #1 Target #185 Run completed: 1 solutions; 8 fail nodes; 50 nodes; 1 milliseconds
Pattern #1 Target #186 Run completed: 1 solutions; 20 fail nodes; 77 nodes; 1 milliseconds
Pattern #1 Target #187 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 1 milliseconds
Pattern #1 Target #188 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 0 milliseconds
Pattern #1 Target #189 Run completed: 1 solutions; 7 fail nodes; 38 nodes; 1 milliseconds
Pattern #1 Target #190 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #191 Run completed: 0 solutions; 36 fail nodes; 101 nodes; 1 milliseconds
Pattern #1 Target #192 Run completed: 1 solutions; 28 fail nodes; 113 nodes; 0 milliseconds
Pattern #1 Target #193 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #194 Run completed: 1 solutions; 7 fail nodes; 40 nodes; 1 milliseconds
Pattern #1 Target #195 Run completed: 1 solutions; 5 fail nodes; 27 nodes; 0 milliseconds
Pattern #1 Target #196 Run completed: 1 solutions; 39 fail nodes; 123 nodes; 1 milliseconds
Pattern #1 Target #197 Run completed: 1 solutions; 11 fail nodes; 47 nodes; 1 milliseconds
Pattern #1 Target #198 Run completed: 1 solutions; 13 fail nodes; 54 nodes; 1 milliseconds
Pattern #1 Target #199 Run completed: 1 solutions; 7 fail nodes; 50 nodes; 0 milliseconds
Pattern #1 Target #200 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 3 milliseconds
Pattern #1 Target #201 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 2 milliseconds
Pattern #1 Target #202 Run completed: 1 solutions; 9 fail nodes; 42 nodes; 8 milliseconds
Pattern #1 Target #203 Run completed: 1 solutions; 2 fail nodes; 19 nodes; 2 milliseconds
Pattern #1 Target #204 Run completed: 1 solutions; 123 fail nodes; 125 nodes; 2 milliseconds
Pattern #1 Target #205 Run completed: 1 solutions; 3 fail nodes; 21 nodes; 4 milliseconds
Pattern #1 Target #206 Run completed: 1 solutions; 14 fail nodes; 75 nodes; 1 milliseconds
Pattern #1 Target #207 Run completed: 1 solutions; 63 fail nodes; 74 nodes; 2 milliseconds
Pattern #1 Target #208 Run completed: 1 solutions; 72 fail nodes; 83 nodes; 1 milliseconds
Pattern #1 Target #209 Run completed: 1 solutions; 70 fail nodes; 81 nodes; 2 milliseconds
Pattern #1 Target #210 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 2 milliseconds
Pattern #1 Target #211 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #212 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #213 Run completed: 1 solutions; 3 fail nodes; 32 nodes; 1 milliseconds
Pattern #1 Target #214 Run completed: 1 solutions; 8 fail nodes; 44 nodes; 0 milliseconds
Pattern #1 Target #215 Run completed: 1 solutions; 8 fail nodes; 50 nodes; 1 milliseconds
Pattern #1 Target #216 Run completed: 1 solutions; 20 fail nodes; 77 nodes; 1 milliseconds
Pattern #1 Target #217 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 1 milliseconds
Pattern #1 Target #218 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 0 milliseconds
Pattern #1 Target #219 Run completed: 1 solutions; 7 fail nodes; 38 nodes; 1 milliseconds
Pattern #1 Target #220 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #221 Run completed: 0 solutions; 36 fail nodes; 101 nodes; 0 milliseconds
Pattern #1 Target #222 Run completed: 1 solutions; 28 fail nodes; 113 nodes; 1 milliseconds
Pattern #1 Target #223 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #224 Run completed: 1 solutions; 7 fail nodes; 40 nodes; 0 milliseconds
Pattern #1 Target #225 Run completed: 1 solutions; 5 fail nodes; 27 nodes; 0 milliseconds
Pattern #1 Target #226 Run completed: 1 solutions; 39 fail nodes; 123 nodes; 0 milliseconds
Pattern #1 Target #227 Run completed: 1 solutions; 11 fail nodes; 47 nodes; 1 milliseconds
Pattern #1 Target #228 Run completed: 1 solutions; 13 fail nodes; 54 nodes; 1 milliseconds
Pattern #1 Target #229 Run completed: 1 solutions; 7 fail nodes; 50 nodes; 0 milliseconds
Pattern #1 Target #230 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 3 milliseconds
Pattern #1 Target #231 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 2 milliseconds
Pattern #1 Target #232 Run completed: 1 solutions; 9 fail nodes; 42 nodes; 8 milliseconds
Pattern #1 Target #233 Run completed: 1 solutions; 2 fail nodes; 19 nodes; 2 milliseconds
Pattern #1 Target #234 Run completed: 1 solutions; 123 fail nodes; 125 nodes; 2 milliseconds
Pattern #1 Target #235 Run completed: 1 solutions; 3 fail nodes; 21 nodes; 4 milliseconds
Pattern #1 Target #236 Run completed: 1 solutions; 14 fail nodes; 75 nodes; 1 milliseconds
Pattern #1 Target #237 Run completed: 1 solutions; 63 fail nodes; 74 nodes; 2 milliseconds
Pattern #1 Target #238 Run completed: 1 solutions; 72 fail nodes; 83 nodes; 1 milliseconds
Pattern #1 Target #239 Run completed: 1 solutions; 70 fail nodes; 81 nodes; 1 milliseconds
Pattern #1 Target #240 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 2 milliseconds
Pattern #1 Target #241 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #242 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 1 milliseconds
Pattern #1 Target #243 Run completed: 1 solutions; 3 fail nodes; 32 nodes; 0 milliseconds
Pattern #1 Target #244 Run completed: 1 solutions; 8 fail nodes; 44 nodes; 0 milliseconds
Pattern #1 Target #245 Run completed: 1 solutions; 8 fail nodes; 50 nodes; 1 milliseconds
Pattern #1 Target #246 Run completed: 1 solutions; 20 fail nodes; 77 nodes; 1 milliseconds
Pattern #1 Target #247 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 1 milliseconds
Pattern #1 Target #248 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 0 milliseconds
Pattern #1 Target #249 Run completed: 1 solutions; 7 fail nodes; 38 nodes; 1 milliseconds
Pattern #1 Target #250 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #251 Run completed: 0 solutions; 36 fail nodes; 101 nodes; 1 milliseconds
Pattern #1 Target #252 Run completed: 1 solutions; 28 fail nodes; 113 nodes; 0 milliseconds
Pattern #1 Target #253 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #254 Run completed: 1 solutions; 7 fail nodes; 40 nodes; 0 milliseconds
Pattern #1 Target #255 Run completed: 1 solutions; 5 fail nodes; 27 nodes; 1 milliseconds
Pattern #1 Target #256 Run completed: 1 solutions; 39 fail nodes; 123 nodes; 0 milliseconds
Pattern #1 Target #257 Run completed: 1 solutions; 11 fail nodes; 47 nodes; 1 milliseconds
Pattern #1 Target #258 Run completed: 1 solutions; 13 fail nodes; 54 nodes; 1 milliseconds
Pattern #1 Target #259 Run completed: 1 solutions; 7 fail nodes; 50 nodes; 0 milliseconds
Pattern #1 Target #260 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 3 milliseconds
Pattern #1 Target #261 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 3 milliseconds
Pattern #1 Target #262 Run completed: 1 solutions; 9 fail nodes; 42 nodes; 7 milliseconds
Pattern #1 Target #263 Run completed: 1 solutions; 2 fail nodes; 19 nodes; 2 milliseconds
Pattern #1 Target #264 Run completed: 1 solutions; 123 fail nodes; 125 nodes; 2 milliseconds
Pattern #1 Target #265 Run completed: 1 solutions; 3 fail nodes; 21 nodes; 4 milliseconds
Pattern #1 Target #266 Run completed: 1 solutions; 14 fail nodes; 75 nodes; 1 milliseconds
Pattern #1 Target #267 Run completed: 1 solutions; 63 fail nodes; 74 nodes; 1 milliseconds
Pattern #1 Target #268 Run completed: 1 solutions; 72 fail nodes; 83 nodes; 2 milliseconds
Pattern #1 Target #269 Run completed: 1 solutions; 70 fail nodes; 81 nodes; 1 milliseconds
Pattern #1 Target #270 Run completed: 1 solutions; 3 fail nodes; 23 nodes; 3 milliseconds
Pattern #1 Target #271 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 0 milliseconds
Pattern #1 Target #272 Run completed: 1 solutions; 3 fail nodes; 28 nodes; 2 milliseconds
Pattern #1 Target #273 Run completed: 1 solutions; 3 fail nodes; 32 nodes; 0 milliseconds
Pattern #1 Target #274 Run completed: 1 solutions; 8 fail nodes; 44 nodes; 1 milliseconds
Pattern #1 Target #275 Run completed: 1 solutions; 8 fail nodes; 50 nodes; 1 milliseconds
Pattern #1 Target #276 Run completed: 1 solutions; 20 fail nodes; 77 nodes; 1 milliseconds
Pattern #1 Target #277 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 0 milliseconds
Pattern #1 Target #278 Run completed: 1 solutions; 7 fail nodes; 39 nodes; 0 milliseconds
Pattern #1 Target #279 Run completed: 1 solutions; 7 fail nodes; 38 nodes; 0 milliseconds
Pattern #1 Target #280 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #281 Run completed: 0 solutions; 36 fail nodes; 101 nodes; 0 milliseconds
Pattern #1 Target #282 Run completed: 1 solutions; 28 fail nodes; 113 nodes; 1 milliseconds
Pattern #1 Target #283 Run completed: 1 solutions; 4 fail nodes; 26 nodes; 1 milliseconds
Pattern #1 Target #284 Run completed: 1 solutions; 7 fail nodes; 40 nodes; 0 milliseconds
